,0,1,accuracy,macro avg,weighted avg
Logistic Regression,"{'precision': 0.9881552972143014, 'recall': 0.9872890642121411, 'f1-score': 0.987721990791493, 'support': 4563.0}","{'precision': 0.9864422627395979, 'recall': 0.9873654656059897, 'f1-score': 0.9869036482694106, 'support': 4274.0}",0.9873260156161593,"{'precision': 0.9872987799769497, 'recall': 0.9873272649090654, 'f1-score': 0.9873128195304518, 'support': 8837.0}","{'precision': 0.9873267910080229, 'recall': 0.9873260156161593, 'f1-score': 0.9873262008243797, 'support': 8837.0}"
Naive Bayes,"{'precision': 0.9290210549164315, 'recall': 0.937979399517861, 'f1-score': 0.9334787350054526, 'support': 4563.0}","{'precision': 0.933096926713948, 'recall': 0.9234908750584933, 'f1-score': 0.92826904985889, 'support': 4274.0}",0.9309720493380106,"{'precision': 0.9310589908151897, 'recall': 0.9307351372881771, 'f1-score': 0.9308738924321713, 'support': 8837.0}","{'precision': 0.930992343369819, 'recall': 0.9309720493380106, 'f1-score': 0.9309590796567587, 'support': 8837.0}"
Linear SVM,"{'precision': 0.9945211483673022, 'recall': 0.9945211483673022, 'f1-score': 0.9945211483673022, 'support': 4563.0}","{'precision': 0.9941506785212916, 'recall': 0.9941506785212916, 'f1-score': 0.9941506785212916, 'support': 4274.0}",0.994341971257214,"{'precision': 0.9943359134442968, 'recall': 0.9943359134442968, 'f1-score': 0.9943359134442968, 'support': 8837.0}","{'precision': 0.994341971257214, 'recall': 0.994341971257214, 'f1-score': 0.994341971257214, 'support': 8837.0}"
